ID,API-Type,API-Name,HTTP Method,URI,Decription+Parameters,AmorphousURI,TidyURI,Comment,NonStandardURI,StandarURI,Comment,CRUDyURI,VerblessURI,Comment,UnversionedURI,VersionedURI,Comment,PluralisedNodes,SingularNodes,Comment,NonDescriptiveURI,DescriptiveURI,Comment,ContextlessResource,ContextualResouce,Comment,NonHierarchicalNodes,HierarchicalNodes,Comment,LessCohisiveDoc,CohisiveDoc,Comment,InconsistantDoc,ConsistantDoc,Comment,Type(Public/Private/Partner)
18,REST,Adobe Audience Manager,POST,/data-feeds/billing-report,Gets the billing report for last month in CSV format,0,1,,0,1,,0,1,,1,0,No Version Found,1,0,[Singular last node with POST method.],0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,1,0,Inconsistent Documentation,Private
19,REST,Adobe Audience Manager,POST,/data-feeds/usage,Inserts impression data for the plan subscription for last month.,0,1,,0,1,,0,1,,1,0,No Version Found,1,0,[Singular last node with POST method.],0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
20,REST,Adobe Audience Manager,POST,/data-feeds/bulk-usage,Inserts bulk impression data for multiple plan subscriptions for last month.,0,1,,0,1,,0,1,,1,0,No Version Found,1,0,[Singular last node with POST method.],0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
21,REST,Adobe Audience Manager,GET,/destinations/segment-impressions/,Returns all the segments and corresponding impression counts for all destinations,1,0,[trailing slash found],0,1,,0,1,,1,0,No Version Found,0,1,Regular methods,0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
22,REST,Adobe Audience Manager,PATCH,/destinations/segment-impressions/,Updates the segments and corresponding impression counts for destinations,1,0,[trailing slash found],0,1,,0,1,,1,0,No Version Found,0,1,Regular methods,0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
23,REST,Adobe Audience Manager,GET,/data-feeds/,Gets the `Data Feed` resources.,1,0,[trailing slash found],0,1,,0,1,,1,0,No Version Found,0,1,Regular methods,0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
24,REST,Adobe Audience Manager,POST,/data-feeds/,Creates a new `Data Feed`.,1,0,[trailing slash found],0,1,,0,1,,1,0,No Version Found,0,1,[Pluralized last node with POST method.],0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
25,REST,Adobe Audience Manager,GET,/data-feeds/{dataSourceId},Gets the 'Data Feed' resource by the 'Feed ID' or 'Data Source ID'.,0,1,,0,1,,0,1,,1,0,No Version Found,0,1,Regular methods,0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
26,REST,Adobe Audience Manager,PUT,/data-feeds/{dataSourceId},Updates the 'Data Feed'.,0,1,,0,1,,0,1,,1,0,No Version Found,0,1,[Singular last node with PUT|DELETE method.],0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
27,REST,Adobe Audience Manager,DELETE,/data-feeds/{dataSourceId},Deletes the 'Data Feed' resource by the 'Feed ID' or 'Data Source ID'.,0,1,,0,1,,0,1,,1,0,No Version Found,0,1,[Singular last node with PUT|DELETE method.],0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
28,REST,Adobe Audience Manager,GET,/data-feeds/{dataSourceId}/plans/,Gets the list of plans under a 'Data Feed'.,1,0,[trailing slash found],0,1,,0,1,,1,0,No Version Found,0,1,Regular methods,0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
29,REST,Adobe Audience Manager,POST,/data-feeds/{dataSourceId}/plans/,Creates a new 'Plan' (also known as rate card) for this 'Data Feed'.,1,0,[trailing slash found],0,1,,0,1,,1,0,No Version Found,0,1,[Pluralized last node with POST method.],0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
30,REST,Adobe Audience Manager,GET,/data-feeds/{dataSourceId}/subscriptions,Gets the list of 'Subscriptions' under a 'Data Feed'.,0,1,,0,1,,0,1,,1,0,No Version Found,0,1,Regular methods,0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
31,REST,Adobe Audience Manager,PUT,/data-feeds/{dataSourceId}/subscriptions,Updates the list of 'Subscriptions' under a 'Data Feed'.,0,1,,0,1,,0,1,,1,0,No Version Found,1,0,[Pluralized last node with PUT|DELETE method.],0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,1,0,Inconsistent Documentation,Private
32,REST,Adobe Audience Manager,GET,/data-feeds/{dataSourceId}/requests/,Gets the list of 'Subscriptions Request' under a 'Data Feed'.,1,0,[trailing slash found],0,1,,0,1,,1,0,No Version Found,0,1,Regular methods,0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
33,REST,Adobe Audience Manager,POST,/data-feeds/{dataSourceId}/requests/,Creates a 'Subscription' under a 'Data Feed'.,1,0,[trailing slash found],0,1,,0,1,,1,0,No Version Found,0,1,[Pluralized last node with POST method.],0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
34,REST,Adobe Audience Manager,GET,/data-feeds/{dataSourceId}/requests/{requestId},Gets a 'Data Feed Request' with 'requestId'.,0,1,,0,1,,0,1,,1,0,No Version Found,0,1,Regular methods,0,1,Self-descriptive End-point,0,1,Contextual Resource Names,1,0,Reversed hierarchy of type True detected between requests and request. 0 hierarchical relations were detected out of 64,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
35,REST,Adobe Audience Manager,PUT,/data-feeds/{dataSourceId}/requests/{requestId},Updates an existing 'Data Feed Request'.,0,1,,0,1,,0,1,,1,0,No Version Found,0,1,[Singular last node with PUT|DELETE method.],0,1,Self-descriptive End-point,0,1,Contextual Resource Names,1,0,Reversed hierarchy of type True detected between requests and request. 0 hierarchical relations were detected out of 64,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
36,REST,Adobe Audience Manager,GET,/data-feeds/{dataSourceId}/potential-subscribers/,Returns the list of potential subscribers for a 'Data Feed'.,1,0,[trailing slash found],0,1,,0,1,,1,0,No Version Found,0,1,Regular methods,0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
37,REST,Adobe Audience Manager,GET,/data-feeds/{dataSourceId}/plans/{planId},Gets a 'Data Feed Plan' under a 'Data Feed'.,0,1,,0,1,,0,1,,1,0,No Version Found,0,1,Regular methods,0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
38,REST,Adobe Audience Manager,PUT,/data-feeds/{dataSourceId}/plans/{planId},Updates a 'Data Feed Plan' under a 'Data Feed'.,0,1,,0,1,,0,1,,1,0,No Version Found,0,1,[Singular last node with PUT|DELETE method.],0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
39,REST,Adobe Audience Manager,DELETE,/data-feeds/{dataSourceId}/plans/{planId},Deletes a 'Data Feed Plan' under a 'Data Feed'.,0,1,,0,1,,0,1,,1,0,No Version Found,0,1,[Singular last node with PUT|DELETE method.],0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
40,REST,Adobe Audience Manager,GET,/datasources/,Returns details about all GENERAL data sources.,1,0,[trailing slash found],0,1,,0,1,,1,0,No Version Found,0,1,Regular methods,0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
41,REST,Adobe Audience Manager,POST,/datasources/,Creates a Data Source of the type GENERAL or MERGE RULE.,1,0,[trailing slash found],0,1,,0,1,,1,0,No Version Found,0,1,[Pluralized last node with POST method.],0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
42,REST,Adobe Audience Manager,GET,/datasources/{dataSourceId},Returns details about a specific data source.,0,1,,0,1,,0,1,,1,0,No Version Found,0,1,Regular methods,0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
43,REST,Adobe Audience Manager,PUT,/datasources/{dataSourceId},Update a specific GENERAL or MERGE_RULE data source.,0,1,,0,1,,0,1,,1,0,No Version Found,0,1,[Singular last node with PUT|DELETE method.],0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
44,REST,Adobe Audience Manager,DELETE,/datasources/{dataSourceId},Delete a specific data source.,0,1,,0,1,,0,1,,1,0,No Version Found,0,1,[Singular last node with PUT|DELETE method.],0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
45,REST,Adobe Audience Manager,POST,/datasources/bulk-delete,Bulk delete multiple data sources.,0,1,,0,1,,1,0,[delete found],1,0,No Version Found,1,0,[Singular last node with POST method.],0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,1,0,Inconsistent Documentation,Private
46,REST,Adobe Audience Manager,GET,/datasources/configurations/available-id-types,Returns all available data source ID types.,0,1,,0,1,,0,1,,1,0,No Version Found,0,1,Regular methods,0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
47,REST,Adobe Audience Manager,GET,/datasources/configurations/marketing-cloud-visitorid-versions,Returns a list of all active Experience Cloud visitor ID versions.,0,1,,0,1,,0,1,,1,0,No Version Found,0,1,Regular methods,0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
48,REST,Adobe Audience Manager,GET,/datasources/{dataSourceId}/history/inbound,Returns Onboarding Status Report with success and failure rates for inbound data source files.,0,1,,0,1,,0,1,,1,0,No Version Found,0,1,Regular methods,0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
49,REST,Adobe Audience Manager,GET,/datasources/{dataSourceId}/history/inbound/sampling-data,Returns sampling data for a datasource for onboarding (inbound) files.,0,1,,0,1,,0,1,,1,0,No Version Found,0,1,Regular methods,0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
50,REST,Adobe Audience Manager,GET,/signals/derived/{derivedSignalId},Returns information about a single derived signal.,0,1,,0,1,,0,1,,1,0,No Version Found,0,1,Regular methods,0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
51,REST,Adobe Audience Manager,PUT,/signals/derived/{derivedSignalId},Updates a single derived signal.,0,1,,0,1,,0,1,,1,0,No Version Found,0,1,[Singular last node with PUT|DELETE method.],0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
52,REST,Adobe Audience Manager,DELETE,/signals/derived/{derivedSignalId},Deletes a single derived signal.,0,1,,0,1,,0,1,,1,0,No Version Found,0,1,[Singular last node with PUT|DELETE method.],0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
53,REST,Adobe Audience Manager,GET,/signals/derived,Returns an array of derived signals and their information.,0,1,,0,1,,0,1,,1,0,No Version Found,0,1,Regular methods,0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
54,REST,Adobe Audience Manager,POST,/signals/derived,Creates a new derived signal,0,1,,0,1,,0,1,,1,0,No Version Found,1,0,[Singular last node with POST method.],0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
55,REST,Adobe Audience Manager,GET,/signals/derived/limits,Returns a count of the maximum number of derived signals you can create.,0,1,,0,1,,0,1,,1,0,No Version Found,0,1,Regular methods,0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,1,0,Inconsistent Documentation,Private
56,REST,Adobe Audience Manager,POST,/destinations/,Creates a new destination.,1,0,[trailing slash found],0,1,,0,1,,1,0,No Version Found,0,1,[Pluralized last node with POST method.],0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
57,REST,Adobe Audience Manager,GET,/destinations/,Returns data for all your destinations.,1,0,[trailing slash found],0,1,,0,1,,1,0,No Version Found,0,1,Regular methods,0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
58,REST,Adobe Audience Manager,GET,/destinations/limits,Returns a count of the maximum number of destinations you can create.,0,1,,0,1,,0,1,,1,0,No Version Found,0,1,Regular methods,0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,1,0,Inconsistent Documentation,Private
59,REST,Adobe Audience Manager,GET,/destinations/{destinationId}/history/outbound/,Returns outbound history for a specific destination by 'destinationId'.,1,0,[trailing slash found],0,1,,0,1,,1,0,No Version Found,0,1,Regular methods,0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
60,REST,Adobe Audience Manager,GET,/destinations/{destinationId},Returns a specific destination by 'destinationId'.,0,1,,0,1,,0,1,,1,0,No Version Found,0,1,Regular methods,0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
61,REST,Adobe Audience Manager,DELETE,/destinations/{destinationId},Deletes a specific destination by 'destinationId'.,0,1,,0,1,,0,1,,1,0,No Version Found,0,1,[Singular last node with PUT|DELETE method.],0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
62,REST,Adobe Audience Manager,PUT,/destinations/{destinationId},Updates a specific destination by 'destinationId'.,0,1,,0,1,,0,1,,1,0,No Version Found,0,1,[Singular last node with PUT|DELETE method.],0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
63,REST,Adobe Audience Manager,POST,/destinations/{destinationId}/bulk-create,Creates multiple destination mappings for a specified destination by 'destinationId' in one operation.,0,1,,0,1,,1,0,[create found],1,0,No Version Found,1,0,[Singular last node with POST method.],0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
64,REST,Adobe Audience Manager,POST,/destinations/{destinationId}/bulk-delete,Deletes multiple destination mappings for one specified destination by 'destinationId' in one operation.,0,1,,0,1,,1,0,[delete found],1,0,No Version Found,1,0,[Singular last node with POST method.],0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,1,0,Inconsistent Documentation,Private
65,REST,Adobe Audience Manager,GET,/destinations/{destinationId}/mappings-by-priority/,Returns a list of destination mappings for a specific cookie destination by 'destinationId' in the ascending order of priority.,1,0,[trailing slash found],0,1, ,0,1, ,1,0,No Version Found,0,1,Regular methods,0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1, ,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
66,REST,Apple App Store Connect,GET,/appCategories,filter by attribute platforms,0,1,,0,1,,0,1,,1,0,No Version Found,0,1,Regular methods,0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
67,REST,Apple App Store Connect,GET,/appCategories/{id},the fields to include for returned resources of type appCategories,0,1,,0,1,,0,1,,1,0,No Version Found,0,1,Regular methods,0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
68,REST,Apple App Store Connect,GET,/appEncryptionDeclarations,filter by attribute platform,0,1,,0,1,,0,1,,1,0,No Version Found,0,1,Regular methods,0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
69,REST,Apple App Store Connect,GET,/appEncryptionDeclarations/{id},the fields to include for returned resources of type appEncryptionDeclarations,0,1,,0,1,,0,1,,1,0,No Version Found,0,1,Regular methods,0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
70,REST,Apple App Store Connect,GET,/appInfoLocalizations/{id},the fields to include for returned resources of type appInfoLocalizations,0,1,,0,1,,0,1,,1,0,No Version Found,0,1,Regular methods,0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
71,REST,Apple App Store Connect,GET,/appInfos/{id},the fields to include for returned resources of type appInfos,0,1,,0,1,,0,1,,1,0,No Version Found,0,1,Regular methods,0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
72,REST,Apple App Store Connect,GET,/appPreOrders/{id},the fields to include for returned resources of type appPreOrders,0,1,,0,1,,0,1,,1,0,No Version Found,0,1,Regular methods,0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
73,REST,Apple App Store Connect,GET,/appPreviewSets/{id},the fields to include for returned resources of type appPreviews,0,1,,0,1,,0,1,,1,0,No Version Found,0,1,Regular methods,0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
74,REST,Apple App Store Connect,GET,/appPreviews/{id},the fields to include for returned resources of type appPreviews,0,1,,0,1,,0,1,,1,0,No Version Found,0,1,Regular methods,0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
75,REST,Apple App Store Connect,GET,/appPricePoints,filter by id(s) of related priceTier,0,1,,0,1,,0,1,,1,0,No Version Found,0,1,Regular methods,0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
76,REST,Apple App Store Connect,GET,/appPricePoints/{id},the fields to include for returned resources of type appPricePoints,0,1,,0,1,,0,1,,1,0,No Version Found,0,1,Regular methods,0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
77,REST,Apple App Store Connect,GET,/appPriceTiers,filter by id(s),0,1,,0,1,,0,1,,1,0,No Version Found,0,1,Regular methods,0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,1,0,Non-pertinent Documentation,0,1,Consistent Documentation,Private
78,REST,Apple App Store Connect,GET,/appPriceTiers/{id},the fields to include for returned resources of type appPriceTiers,0,1,,0,1,,0,1,,1,0,No Version Found,0,1,Regular methods,0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
79,REST,Apple App Store Connect,GET,/appPrices/{id},the fields to include for returned resources of type appPrices,0,1,,0,1,,0,1,,1,0,No Version Found,0,1,Regular methods,0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
80,REST,Apple App Store Connect,GET,/appScreenshotSets/{id},the fields to include for returned resources of type appScreenshotSets,0,1,,0,1,,0,1,,1,0,No Version Found,0,1,Regular methods,0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
81,REST,Apple App Store Connect,GET,/appScreenshots/{id},the fields to include for returned resources of type appScreenshots,0,1,,0,1,,0,1,,1,0,No Version Found,0,1,Regular methods,0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
82,REST,Apple App Store Connect,GET,/appStoreReviewAttachments/{id},the fields to include for returned resources of type appStoreReviewAttachments,0,1,,0,1,,0,1,,1,0,No Version Found,0,1,Regular methods,0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
83,REST,Apple App Store Connect,GET,/appStoreReviewDetails/{id},he fields to include for returned resources of type appStoreReviewDetails,0,1,,0,1,,0,1,,1,0,No Version Found,0,1,Regular methods,0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
84,REST,Apple App Store Connect,GET,/appStoreVersionLocalizations/{id},the fields to include for returned resources of type appStoreVersionLocalizations,0,1,,0,1,,0,1,,1,0,No Version Found,0,1,Regular methods,0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
85,REST,Apple App Store Connect,GET,/appStoreVersions/{id},the fields to include for returned resources of type appStoreVersions,0,1,,0,1,,0,1,,1,0,No Version Found,0,1,Regular methods,0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
